NSN,rep_office,common_name,Description,Price,UI,AAC
4510-00-203-2709,General Products,Soap Dispenser,Powdered soap is dispensed using a soap feed mechanism and has an internal agitator that keeps soap from caking during normal use.  For use with powered soap NSN 8520-00-270-0065 (contains Lanolin) or NSN 8520-00-270-0258 (does not contain Lanolin). Hand-,27.53,EA,H
4510-00-224-8549,General Products,Paper Towel Dispenser,"For use with paper towels, (single-fold) 8540-00-262-7178, 8540-01-359-0798, 8540-01-055-6134 and (wide fold) 8540-00-291-0389. Holds 350 single-fold towels measuring 9-1/4 x 5-1/2"" folded. Dispenses individual hand towels easily from bottom slot. The dis",100.31,EA,H
4510-00-247-1370,General Products,Toilet Seat,"Open-front, elongated-rim seat fits standard commercial toilet bowls. Self-sustaining metal or stainless steel hinges hold seat firmly in upright position. Seat does not have a cover. Solid plastic seat has a smooth, glossy surface with plastic bumpers on",32.66,EA,H
4510-00-253-0857,General Products,Double Faucet,"Can be mounted on wall or other vertical surface. Features two lever handles and 1/2"" internal pipe threads for water connections. Chrome-plated brass unit consists of a swing spout with an aerator outlet. Features an 8"", center-to-center distance between",50.41,EA,H
4510-00-585-6305,General Products,Paper Towel Dispenser,"For use with (C-fold towels)  8540-00-291-0392. Holds 300 multifold or C-fold towels measuring 10-1/8 x 4"" folded. Dispenses individual hand towels easily from bottom slot. The dispenser has a lock and key with a front opening hinged door panel that autom",43.96,EA,H
4510-00-595-0922,General Products,Drain Trap,"Two-piece unit has a swivel joint and a cast elbow. Elbow has a female threaded outlet. Measures 5-1/2"" long overall. Lavatory P-trap has a slip-joint inlet connection with a washer and nut. Chrome-plated brass. Also has a clean-out plug with a washer.",49.57,EA,H
4510-00-595-1775,General Products,Toilet Paper Holder,One-piece chromium-plated steel holder consists of a wall plate with two brackets. Metal roller or bar is attached to the stationary bracket; second bracket is hinged for easy paper replacement. Designed to cut down on theft. Includes fasteners for surfac,9.77,EA,H
4510-00-595-1785,General Products,Drum Faucet,"Self-closing lock lever. Automatically closes when handle is released. Corrosion-resistant barrel faucet without flash screen is not for use with volatile flammable liquids. Has 3/4"" - 14 NPT external threads for attachment; 3/4"" flow outlet. Do not use f",12.11,EA,H
4510-00-752-9065,General Products,Toilet Paper Holder,Stainless steel and plastic cabinet has a satin finish. Vertical surface mount; fasteners holes or slots.  Comes with hardware for installing. Cabinet houses 3 rolls of commerical toilet paper.  Concealed supply roll drops into place when first roll is ex,104.69,EA,H
4510-00-756-1145,General Products,Drain Trap,"Two-piece unit has a swivel joint and elbow extension tube. With straight tube outlet and escutcheon plate. Measures 10-1/4"" minimum from trap centerline to tube outlet. Lavatory P-trap has a slip-joint inlet connection with a washer and nut. Chrome-plate",32.35,EA,H
4510-01-327-9405,General Products,Toilet Seat Cover Dispenser,For dispensing quarter-fold paper toilet seat covers. Plastic cabinet mounts on a vertical surface. For use with Toilet Seat Cover NSN 8540-00-965-5790.,14.84,EA,H
4510-01-415-2960,General Products,Hand Cleaner Dispenser,Wall mount dispenser for use with WORX Environmental Products hand cleaner powder (pn 11-1450).,33.38,EA,H
4510-01-426-4187,General Products,Deodorant Dispenser,"For use with air freshener refills NSNs: 6840-01-368-4785, 6840-01-368-4787, 6840-01-368-4789, 6840-01-425-8232, 6840-01-429-5864 and 6840-01-459-8263. Aerosol dispenser automatically controls odors and freshens air with three operation settings; day, nig",49.31,EA,H
